Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value(not meaningful since it is tested vs 0),Signif(not meaningful since it is tested vs 0)
guerr_1750,2.341245956182391,0.1025697633306451,2.1538135526476534,2.558800879432217,2.5373024481861524e-115,***
guerr_1760,2.3080448673895058,0.08608487306130037,2.1693812972020465,2.5008122994427286,2.3876658198398537e-158,***
guerr_1770,2.2748437785966216,0.08879346018633676,2.1304092893380187,2.481031949406056,9.252231755103125e-145,***
guerr_1780,2.2416426898037365,0.10927751806914208,2.0589922812469816,2.4977635263794467,1.6378990146457459e-93,***
guerr_1790,2.2084416010108523,0.13993747718337463,1.978306044978765,2.5271938572154715,4.1629175278695115e-56,***
guerr_1800,2.175240512217967,0.17551935297040624,1.8836054041655759,2.5653007763137623,2.845814740241491e-35,***
imper_1730,2.5524748445434895,0.15930538070768416,2.2674397901187664,2.892858662485841,8.89595269022815e-58,***
imper_1740,2.4439230804184433,0.1242402772577254,2.2264602560064306,2.714792192853761,3.826190415018186e-86,***
imper_1750,2.335371316293397,0.09517541880835738,2.170910795759107,2.548315497893319,5.874142380025229e-133,***
imper_1760,2.226819552168351,0.07903382743629105,2.093197666115216,2.4082461639073807,1.1667371692886367e-174,***
imper_1770,2.118267788043301,0.08366363065709069,1.9884940255468901,2.317574215940564,1.9803159542048433e-141,***
imper_1780,2.009716023918255,0.10638670965790886,1.8308498010670395,2.2660380374034537,1.3611217383138515e-79,***
imper_1790,1.9011642597932088,0.13857103799336912,1.6558907459882126,2.2235670407004156,7.729879411070465e-43,***
imper_1800,1.7926124956681626,0.17507428375091755,1.483506240067459,2.189521064392456,1.323893520927979e-24,***
infedel_1730,2.8333262926864915,0.11758152401628841,2.600179712612234,3.0567066128073797,2.7072164652023494e-128,***
infedel_1740,2.759602540928867,0.08922196665894822,2.5741932110728323,2.9292336500367164,4.774416870537165e-210,***
infedel_1750,2.685878789171243,0.06931283599380719,2.542948622919769,2.8122074310942087,0,***
infedel_1760,2.6121550374136184,0.06600412477288717,2.470669010665975,2.7274636729665223,0,***
infedel_1770,2.538431285655994,0.08134731154181919,2.3733873335129827,2.6794983960847807,9.154509311889532e-214,***
infedel_1780,2.4647075338983697,0.10764195770072751,2.2528401926063304,2.6503919671169807,4.9458865728799316e-116,***
infedel_1790,2.3909837821407454,0.13879755896529716,2.1193866915553343,2.630941177079061,1.682739226413607e-66,***
infedel_1800,2.317260030383121,0.1721955256280533,1.9709144392688465,2.624414385056642,2.795116203829627e-41,***
infel_1730,2.3206928778165263,0.1548005382430627,2.055683602629073,2.653789015753274,8.344216245687181e-51,***
infel_1740,2.2503618728033032,0.11788093146753181,2.051171711918002,2.510662039313869,3.0503092928571898e-81,***
infel_1750,2.180030867790082,0.09104002367697372,2.0309686623252494,2.388661923477786,1.0207136177668406e-126,***
infel_1760,2.109699862776859,0.08450042818054217,1.9686802034815742,2.302094142903456,1.4053363205574487e-137,***
infel_1770,2.0393688577636375,0.10223513759185728,1.8612696824990047,2.2610674972405276,1.565451439172774e-88,***
infel_1780,1.9690378527504144,0.13499403282477718,1.729229415836218,2.2535367188915694,3.442748964278444e-48,***
infel_1790,1.8987068477371931,0.17451194509920528,1.5905438617817145,2.259674187616718,1.4341066057102335e-27,***
infel_1800,1.82837584272397,0.2171292555379378,1.4386790273948518,2.2747857295754543,3.743073651157794e-17,***
ingann_1730,2.613832704571081,0.122259068011754,2.3892235603400342,2.881384930377584,2.0752211202702688e-101,***
ingann_1740,2.475380790717878,0.09793178953292035,2.298368832803794,2.683269526424827,5.78056229946987e-141,***
ingann_1750,2.336928876864679,0.07936981852586174,2.195649698850478,2.501642148800316,1.522814823820546e-190,***
ingann_1760,2.198476963011476,0.07123256127801873,2.065862187244151,2.347950050904919,3.7063311826818073e-209,***
ingann_1770,2.060025049158277,0.07690360512560943,1.9116267230967976,2.214692958827677,4.566790110766891e-158,***
ingann_1780,1.9215731353050742,0.0939139402756326,1.7310209516848485,2.1040869224303007,4.794483168910762e-93,***
ingann_1790,1.783121221451875,0.11743538170655797,1.5472770495803907,2.0083406721676416,4.5242833052960536e-52,***
ingann_1800,1.6446693075986722,0.14431869794564164,1.342249394854016,1.9229086371336555,4.373071514514047e-30,***
ingrat_1730,2.460168890149884,0.1534207408718609,2.1779608210752364,2.7892099692296073,7.227139528049657e-58,***
ingrat_1740,2.380255951503795,0.11919630841439649,2.1669552242244228,2.631676919815575,1.0205751386856264e-88,***
ingrat_1750,2.3003430128577076,0.09128432263279684,2.144606432134465,2.504003376865963,4.0300111506464034e-140,***
ingrat_1760,2.2204300742116203,0.07689685680440068,2.0927188157430425,2.3961282107775816,2.4296910566279615e-183,***
ingrat_1770,2.140517135565533,0.08335860497407456,2.0016563854831135,2.333878846821325,2.0366365068493926e-145,***
ingrat_1780,2.060604196919444,0.10695521898911932,1.8790833800650566,2.2991849393239794,1.0355125488708585e-82,***
ingrat_1790,1.9806912582733567,0.1392315054998561,1.7326962860549582,2.289649605713865,6.329929459847891e-46,***
ingrat_1800,1.9007783196272694,0.17546121163226308,1.58885339441696,2.28746296433114,2.400509593095756e-27,***
lagn_1730,2.150531015768772,0.1447107824138927,1.9139939025522141,2.4775434654833783,5.91343593761648e-50,***
lagn_1740,2.0921401065257825,0.1098808470309773,1.9188463204847799,2.360589754881534,7.940641487331433e-81,***
lagn_1750,2.033749197282793,0.0857901159885424,1.9143648126040091,2.26523205348865,3.1193728903983378e-124,***
lagn_1760,1.9753582880398035,0.08245993522971357,1.8893939068309875,2.215148588245335,8.123031305815725e-127,***
lagn_1770,1.916967378796814,0.1019455310179315,1.7925057898773482,2.2068491991274843,7.024302812577955e-79,***
